SKU_ID,Warehouse,Current_Stock,In_Transit
SKU001,Mumbai_DC,329,79
SKU001,Pune_DC,296,1
SKU001,Bangalore_DC,433,31
SKU002,Mumbai_DC,389,23
SKU002,Pune_DC,445,49
SKU002,Bangalore_DC,212,32
SKU003,Mumbai_DC,466,60
SKU003,Pune_DC,228,42
SKU003,Bangalore_DC,150,11
SKU004,Mumbai_DC,372,64
SKU004,Pune_DC,466,39
SKU004,Bangalore_DC,379,42
SKU005,Mumbai_DC,93,28
SKU005,Pune_DC,446,11
SKU005,Bangalore_DC,144,45
SKU006,Mumbai_DC,435,34
SKU006,Pune_DC,264,80
SKU006,Bangalore_DC,139,7
SKU007,Mumbai_DC,142,25
SKU007,Pune_DC,139,33
SKU007,Bangalore_DC,164,6
SKU008,Mumbai_DC,245,57
SKU008,Pune_DC,163,74
SKU008,Bangalore_DC,462,35
SKU009,Mumbai_DC,266,20
SKU009,Pune_DC,298,35
SKU009,Bangalore_DC,443,72
SKU010,Mumbai_DC,457,63
SKU010,Pune_DC,276,48
SKU010,Bangalore_DC,148,35
SKU011,Mumbai_DC,145,23
SKU011,Pune_DC,200,61
SKU011,Bangalore_DC,273,36
SKU012,Mumbai_DC,317,54
SKU012,Pune_DC,62,22
SKU012,Bangalore_DC,266,98
SKU013,Mumbai_DC,410,29
SKU013,Pune_DC,322,61
SKU013,Bangalore_DC,133,88
SKU014,Mumbai_DC,391,12
SKU014,Pune_DC,236,18
SKU014,Bangalore_DC,226,99
SKU015,Mumbai_DC,445,60
SKU015,Pune_DC,282,18
SKU015,Bangalore_DC,125,8
SKU016,Mumbai_DC,333,77
SKU016,Pune_DC,272,51
SKU016,Bangalore_DC,388,15
SKU017,Mumbai_DC,422,68
SKU017,Pune_DC,148,11
SKU017,Bangalore_DC,74,51
SKU018,Mumbai_DC,428,84
SKU018,Pune_DC,102,22
SKU018,Bangalore_DC,193,56
SKU019,Mumbai_DC,88,52
SKU019,Pune_DC,91,57
SKU019,Bangalore_DC,472,13
SKU020,Mumbai_DC,272,4
SKU020,Pune_DC,212,86
SKU020,Bangalore_DC,270,74
SKU021,Mumbai_DC,195,75
SKU021,Pune_DC,58,73
SKU021,Bangalore_DC,491,16
SKU022,Mumbai_DC,302,6
SKU022,Pune_DC,223,12
SKU022,Bangalore_DC,217,41
SKU023,Mumbai_DC,442,49
SKU023,Pune_DC,332,65
SKU023,Bangalore_DC,54,28
SKU024,Mumbai_DC,214,37
SKU024,Pune_DC,388,7
SKU024,Bangalore_DC,414,64
SKU025,Mumbai_DC,391,16
SKU025,Pune_DC,376,88
SKU025,Bangalore_DC,350,3
SKU026,Mumbai_DC,341,69
SKU026,Pune_DC,301,30
SKU026,Bangalore_DC,324,60
SKU027,Mumbai_DC,413,53
SKU027,Pune_DC,216,90
SKU027,Bangalore_DC,251,89
SKU028,Mumbai_DC,68,38
SKU028,Pune_DC,175,66
SKU028,Bangalore_DC,222,12
SKU029,Mumbai_DC,291,91
SKU029,Pune_DC,175,57
SKU029,Bangalore_DC,197,91
SKU030,Mumbai_DC,366,38
SKU030,Pune_DC,50,2
SKU030,Bangalore_DC,397,61
SKU031,Mumbai_DC,240,24
SKU031,Pune_DC,361,32
SKU031,Bangalore_DC,471,5
SKU032,Mumbai_DC,107,43
SKU032,Pune_DC,222,31
SKU032,Bangalore_DC,222,60
SKU033,Mumbai_DC,352,20
SKU033,Pune_DC,129,84
SKU033,Bangalore_DC,252,35
SKU034,Mumbai_DC,276,18
SKU034,Pune_DC,69,56
SKU034,Bangalore_DC,451,46
SKU035,Mumbai_DC,282,48
SKU035,Pune_DC,63,14
SKU035,Bangalore_DC,464,0
SKU036,Mumbai_DC,422,53
SKU036,Pune_DC,423,2
SKU036,Bangalore_DC,193,86
SKU037,Mumbai_DC,490,74
SKU037,Pune_DC,61,73
SKU037,Bangalore_DC,273,15
SKU038,Mumbai_DC,407,75
SKU038,Pune_DC,457,27
SKU038,Bangalore_DC,422,7
SKU039,Mumbai_DC,171,91
SKU039,Pune_DC,213,89
SKU039,Bangalore_DC,185,57
SKU040,Mumbai_DC,365,49
SKU040,Pune_DC,77,91
SKU040,Bangalore_DC,406,40
SKU041,Mumbai_DC,277,63
SKU041,Pune_DC,460,62
SKU041,Bangalore_DC,194,72
SKU042,Mumbai_DC,466,83
SKU042,Pune_DC,269,28
SKU042,Bangalore_DC,446,45
SKU043,Mumbai_DC,84,5
SKU043,Pune_DC,131,68
SKU043,Bangalore_DC,352,24
SKU044,Mumbai_DC,499,9
SKU044,Pune_DC,361,29
SKU044,Bangalore_DC,291,4
SKU045,Mumbai_DC,168,32
SKU045,Pune_DC,423,64
SKU045,Bangalore_DC,195,95
SKU046,Mumbai_DC,288,48
SKU046,Pune_DC,316,84
SKU046,Bangalore_DC,331,62
SKU047,Mumbai_DC,266,85
SKU047,Pune_DC,364,26
SKU047,Bangalore_DC,226,76
SKU048,Mumbai_DC,466,97
SKU048,Pune_DC,154,98
SKU048,Bangalore_DC,434,20
SKU049,Mumbai_DC,360,5
SKU049,Pune_DC,246,94
SKU049,Bangalore_DC,182,2
SKU050,Mumbai_DC,486,22
SKU050,Pune_DC,102,36
SKU050,Bangalore_DC,251,73
SKU051,Mumbai_DC,132,16
SKU051,Pune_DC,134,77
SKU051,Bangalore_DC,415,0
SKU052,Mumbai_DC,100,44
SKU052,Pune_DC,254,3
SKU052,Bangalore_DC,495,64
SKU053,Mumbai_DC,418,31
SKU053,Pune_DC,83,91
SKU053,Bangalore_DC,144,71
SKU054,Mumbai_DC,88,25
SKU054,Pune_DC,299,33
SKU054,Bangalore_DC,487,2
SKU055,Mumbai_DC,428,49
SKU055,Pune_DC,317,64
SKU055,Bangalore_DC,103,4
SKU056,Mumbai_DC,271,56
SKU056,Pune_DC,450,46
SKU056,Bangalore_DC,456,78
SKU057,Mumbai_DC,278,84
SKU057,Pune_DC,447,65
SKU057,Bangalore_DC,124,50
SKU058,Mumbai_DC,152,37
SKU058,Pune_DC,241,97
SKU058,Bangalore_DC,343,49
SKU059,Mumbai_DC,147,81
SKU059,Pune_DC,335,78
SKU059,Bangalore_DC,396,50
SKU060,Mumbai_DC,496,97
SKU060,Pune_DC,357,37
SKU060,Bangalore_DC,384,29
SKU061,Mumbai_DC,296,50
SKU061,Pune_DC,130,4
SKU061,Bangalore_DC,334,3
SKU062,Mumbai_DC,187,55
SKU062,Pune_DC,450,73
SKU062,Bangalore_DC,322,83
SKU063,Mumbai_DC,118,33
SKU063,Pune_DC,311,52
SKU063,Bangalore_DC,499,76
SKU064,Mumbai_DC,175,42
SKU064,Pune_DC,289,74
SKU064,Bangalore_DC,420,22
SKU065,Mumbai_DC,232,79
SKU065,Pune_DC,144,74
SKU065,Bangalore_DC,423,15
SKU066,Mumbai_DC,57,3
SKU066,Pune_DC,409,3
SKU066,Bangalore_DC,233,24
SKU067,Mumbai_DC,244,95
SKU067,Pune_DC,244,26
SKU067,Bangalore_DC,142,31
SKU068,Mumbai_DC,483,60
SKU068,Pune_DC,171,50
SKU068,Bangalore_DC,452,20
SKU069,Mumbai_DC,54,81
SKU069,Pune_DC,141,41
SKU069,Bangalore_DC,366,21
SKU070,Mumbai_DC,454,69
SKU070,Pune_DC,50,4
SKU070,Bangalore_DC,282,11
SKU071,Mumbai_DC,395,45
SKU071,Pune_DC,83,48
SKU071,Bangalore_DC,127,89
SKU072,Mumbai_DC,350,26
SKU072,Pune_DC,122,25
SKU072,Bangalore_DC,298,46
SKU073,Mumbai_DC,170,85
SKU073,Pune_DC,288,55
SKU073,Bangalore_DC,399,62
SKU074,Mumbai_DC,97,60
SKU074,Pune_DC,386,25
SKU074,Bangalore_DC,341,0
SKU075,Mumbai_DC,57,98
SKU075,Pune_DC,302,51
SKU075,Bangalore_DC,256,46
SKU076,Mumbai_DC,176,55
SKU076,Pune_DC,263,13
SKU076,Bangalore_DC,77,86
SKU077,Mumbai_DC,127,87
SKU077,Pune_DC,435,25
SKU077,Bangalore_DC,63,58
SKU078,Mumbai_DC,361,6
SKU078,Pune_DC,52,22
SKU078,Bangalore_DC,287,17
SKU079,Mumbai_DC,343,98
SKU079,Pune_DC,420,14
SKU079,Bangalore_DC,241,88
SKU080,Mumbai_DC,168,27
SKU080,Pune_DC,251,38
SKU080,Bangalore_DC,490,16
SKU081,Mumbai_DC,280,85
SKU081,Pune_DC,175,43
SKU081,Bangalore_DC,74,16
SKU082,Mumbai_DC,62,83
SKU082,Pune_DC,74,67
SKU082,Bangalore_DC,443,66
SKU083,Mumbai_DC,282,17
SKU083,Pune_DC,160,99
SKU083,Bangalore_DC,160,85
SKU084,Mumbai_DC,83,7
SKU084,Pune_DC,473,82
SKU084,Bangalore_DC,91,40
SKU085,Mumbai_DC,150,5
SKU085,Pune_DC,229,25
SKU085,Bangalore_DC,369,97
SKU086,Mumbai_DC,492,55
SKU086,Pune_DC,364,69
SKU086,Bangalore_DC,278,32
SKU087,Mumbai_DC,486,21
SKU087,Pune_DC,326,69
SKU087,Bangalore_DC,119,3
SKU088,Mumbai_DC,399,74
SKU088,Pune_DC,495,61
SKU088,Bangalore_DC,399,94
SKU089,Mumbai_DC,201,54
SKU089,Pune_DC,186,2
SKU089,Bangalore_DC,292,30
SKU090,Mumbai_DC,89,35
SKU090,Pune_DC,457,94
SKU090,Bangalore_DC,55,65
SKU091,Mumbai_DC,269,74
SKU091,Pune_DC,53,78
SKU091,Bangalore_DC,183,93
SKU092,Mumbai_DC,484,61
SKU092,Pune_DC,490,65
SKU092,Bangalore_DC,384,74
SKU093,Mumbai_DC,441,25
SKU093,Pune_DC,484,44
SKU093,Bangalore_DC,349,4
SKU094,Mumbai_DC,375,25
SKU094,Pune_DC,167,67
SKU094,Bangalore_DC,324,83
SKU095,Mumbai_DC,274,19
SKU095,Pune_DC,162,11
SKU095,Bangalore_DC,96,0
SKU096,Mumbai_DC,139,13
SKU096,Pune_DC,369,37
SKU096,Bangalore_DC,342,10
SKU097,Mumbai_DC,405,76
SKU097,Pune_DC,308,32
SKU097,Bangalore_DC,439,49
SKU098,Mumbai_DC,59,4
SKU098,Pune_DC,456,9
SKU098,Bangalore_DC,221,1
SKU099,Mumbai_DC,62,39
SKU099,Pune_DC,179,83
SKU099,Bangalore_DC,370,62
SKU100,Mumbai_DC,150,72
SKU100,Pune_DC,322,8
SKU100,Bangalore_DC,448,23
