Date,SKU_ID,Warehouse,Units_Sold
2025-01-01,SKU001,Mumbai_DC,41
2025-01-01,SKU001,Pune_DC,16
2025-01-01,SKU001,Bangalore_DC,15
2025-01-01,SKU002,Mumbai_DC,25
2025-01-01,SKU002,Pune_DC,34
2025-01-01,SKU002,Bangalore_DC,15
2025-01-01,SKU003,Mumbai_DC,31
2025-01-01,SKU003,Pune_DC,25
2025-01-01,SKU003,Bangalore_DC,6
2025-01-01,SKU004,Mumbai_DC,30
2025-01-01,SKU004,Pune_DC,20
2025-01-01,SKU004,Bangalore_DC,24
2025-01-01,SKU005,Mumbai_DC,26
2025-01-01,SKU005,Pune_DC,25
2025-01-01,SKU005,Bangalore_DC,9
2025-01-01,SKU006,Mumbai_DC,10
2025-01-01,SKU006,Pune_DC,6
2025-01-01,SKU006,Bangalore_DC,14
2025-01-01,SKU007,Mumbai_DC,15
2025-01-01,SKU007,Pune_DC,24
2025-01-01,SKU007,Bangalore_DC,41
2025-01-01,SKU008,Mumbai_DC,30
2025-01-01,SKU008,Pune_DC,30
2025-01-01,SKU008,Bangalore_DC,26
2025-01-01,SKU009,Mumbai_DC,37
2025-01-01,SKU009,Pune_DC,11
2025-01-01,SKU009,Bangalore_DC,7
2025-01-01,SKU010,Mumbai_DC,21
2025-01-01,SKU010,Pune_DC,31
2025-01-01,SKU010,Bangalore_DC,8
2025-01-01,SKU011,Mumbai_DC,27
2025-01-01,SKU011,Pune_DC,22
2025-01-01,SKU011,Bangalore_DC,22
2025-01-01,SKU012,Mumbai_DC,39
2025-01-01,SKU012,Pune_DC,25
2025-01-01,SKU012,Bangalore_DC,11
2025-01-01,SKU013,Mumbai_DC,5
2025-01-01,SKU013,Pune_DC,4
2025-01-01,SKU013,Bangalore_DC,30
2025-01-01,SKU014,Mumbai_DC,42
2025-01-01,SKU014,Pune_DC,37
2025-01-01,SKU014,Bangalore_DC,11
2025-01-01,SKU015,Mumbai_DC,10
2025-01-01,SKU015,Pune_DC,34
2025-01-01,SKU015,Bangalore_DC,28
2025-01-01,SKU016,Mumbai_DC,42
2025-01-01,SKU016,Pune_DC,13
2025-01-01,SKU016,Bangalore_DC,24
2025-01-01,SKU017,Mumbai_DC,42
2025-01-01,SKU017,Pune_DC,27
2025-01-01,SKU017,Bangalore_DC,9
2025-01-01,SKU018,Mumbai_DC,33
2025-01-01,SKU018,Pune_DC,43
2025-01-01,SKU018,Bangalore_DC,3
2025-01-01,SKU019,Mumbai_DC,0
2025-01-01,SKU019,Pune_DC,17
2025-01-01,SKU019,Bangalore_DC,18
2025-01-01,SKU020,Mumbai_DC,28
2025-01-01,SKU020,Pune_DC,15
2025-01-01,SKU020,Bangalore_DC,27
2025-01-01,SKU021,Mumbai_DC,42
2025-01-01,SKU021,Pune_DC,16
2025-01-01,SKU021,Bangalore_DC,28
2025-01-01,SKU022,Mumbai_DC,26
2025-01-01,SKU022,Pune_DC,7
2025-01-01,SKU022,Bangalore_DC,27
2025-01-01,SKU023,Mumbai_DC,20
2025-01-01,SKU023,Pune_DC,22
2025-01-01,SKU023,Bangalore_DC,35
2025-01-01,SKU024,Mumbai_DC,10
2025-01-01,SKU024,Pune_DC,19
2025-01-01,SKU024,Bangalore_DC,41
2025-01-01,SKU025,Mumbai_DC,28
2025-01-01,SKU025,Pune_DC,6
2025-01-01,SKU025,Bangalore_DC,4
2025-01-01,SKU026,Mumbai_DC,34
2025-01-01,SKU026,Pune_DC,41
2025-01-01,SKU026,Bangalore_DC,11
2025-01-01,SKU027,Mumbai_DC,10
2025-01-01,SKU027,Pune_DC,6
2025-01-01,SKU027,Bangalore_DC,7
2025-01-01,SKU028,Mumbai_DC,16
2025-01-01,SKU028,Pune_DC,44
2025-01-01,SKU028,Bangalore_DC,22
2025-01-01,SKU029,Mumbai_DC,0
2025-01-01,SKU029,Pune_DC,17
2025-01-01,SKU029,Bangalore_DC,17
2025-01-01,SKU030,Mumbai_DC,28
2025-01-01,SKU030,Pune_DC,29
2025-01-01,SKU030,Bangalore_DC,9
2025-01-01,SKU031,Mumbai_DC,2
2025-01-01,SKU031,Pune_DC,1
2025-01-01,SKU031,Bangalore_DC,0
2025-01-01,SKU032,Mumbai_DC,12
2025-01-01,SKU032,Pune_DC,38
2025-01-01,SKU032,Bangalore_DC,37
2025-01-01,SKU033,Mumbai_DC,24
2025-01-01,SKU033,Pune_DC,35
2025-01-01,SKU033,Bangalore_DC,25
2025-01-01,SKU034,Mumbai_DC,27
2025-01-01,SKU034,Pune_DC,22
2025-01-01,SKU034,Bangalore_DC,34
2025-01-01,SKU035,Mumbai_DC,13
2025-01-01,SKU035,Pune_DC,7
2025-01-01,SKU035,Bangalore_DC,23
2025-01-01,SKU036,Mumbai_DC,27
2025-01-01,SKU036,Pune_DC,15
2025-01-01,SKU036,Bangalore_DC,44
2025-01-01,SKU037,Mumbai_DC,20
2025-01-01,SKU037,Pune_DC,3
2025-01-01,SKU037,Bangalore_DC,22
2025-01-01,SKU038,Mumbai_DC,26
2025-01-01,SKU038,Pune_DC,46
2025-01-01,SKU038,Bangalore_DC,16
2025-01-01,SKU039,Mumbai_DC,13
2025-01-01,SKU039,Pune_DC,36
2025-01-01,SKU039,Bangalore_DC,8
2025-01-01,SKU040,Mumbai_DC,26
2025-01-01,SKU040,Pune_DC,25
2025-01-01,SKU040,Bangalore_DC,35
2025-01-01,SKU041,Mumbai_DC,40
2025-01-01,SKU041,Pune_DC,25
2025-01-01,SKU041,Bangalore_DC,0
2025-01-01,SKU042,Mumbai_DC,23
2025-01-01,SKU042,Pune_DC,20
2025-01-01,SKU042,Bangalore_DC,38
2025-01-01,SKU043,Mumbai_DC,11
2025-01-01,SKU043,Pune_DC,14
2025-01-01,SKU043,Bangalore_DC,29
2025-01-01,SKU044,Mumbai_DC,25
2025-01-01,SKU044,Pune_DC,41
2025-01-01,SKU044,Bangalore_DC,36
2025-01-01,SKU045,Mumbai_DC,36
2025-01-01,SKU045,Pune_DC,17
2025-01-01,SKU045,Bangalore_DC,15
2025-01-01,SKU046,Mumbai_DC,25
2025-01-01,SKU046,Pune_DC,21
2025-01-01,SKU046,Bangalore_DC,28
2025-01-01,SKU047,Mumbai_DC,27
2025-01-01,SKU047,Pune_DC,15
2025-01-01,SKU047,Bangalore_DC,11
2025-01-01,SKU048,Mumbai_DC,10
2025-01-01,SKU048,Pune_DC,30
2025-01-01,SKU048,Bangalore_DC,34
2025-01-01,SKU049,Mumbai_DC,7
2025-01-01,SKU049,Pune_DC,24
2025-01-01,SKU049,Bangalore_DC,19
2025-01-01,SKU050,Mumbai_DC,9
2025-01-01,SKU050,Pune_DC,30
2025-01-01,SKU050,Bangalore_DC,42
2025-01-01,SKU051,Mumbai_DC,32
2025-01-01,SKU051,Pune_DC,19
2025-01-01,SKU051,Bangalore_DC,39
2025-01-01,SKU052,Mumbai_DC,27
2025-01-01,SKU052,Pune_DC,1
